sku_norm,sku_raw,reason,sku_case_pack,sku_cost,case_qty,sku_unit_cost,ahs_unit_sales,ahs_case_sales,margin_case_price,candidate_price,bc_price_old,target_vs_bc_pct,price_source
BMT06,BMT06,missing_case_qty,,,,,,,,,,,
EZ-EP77-1-SLN,EZ-EP77-1-SLN,price_change_exceeds_15.0pct_guard,12,30.5,12,30.5,5.08,60.96,541.68,541.68,60.96,788.58,margin_case_price_to_bc_price
KA2000,KA2000,missing_case_qty,,,,,,,,,,,
KA255,KA255,missing_case_qty,,,,,,,,,,,
KA3000,KA3000,missing_case_qty,,,,,,,,,,,
KA412R,KA412R,missing_case_qty,,,,,,,,,,,
KA5000,KA5000,missing_case_qty,,,,,,,,,,,
KA711,KA711,missing_case_qty,,,,,,,,,,,
KA9100,KA9100,missing_case_qty,,,,,,,,,,,
KASS151,KASS151,missing_case_qty,,,,,,,,,,,
KASS256,KASS256,missing_case_qty,,,,,,,,,,,
SL2940M,SL2940M,price_change_exceeds_15.0pct_guard,25,3.45,25,3.45,3.99,99.75,127.65,127.65,99.75,27.97,margin_case_price_to_bc_price
