sku_norm,sku_raw,sheet_name,name_color,size_hint,case_pack,price_each,case_price_calc,bc_type,bc_product_id,bc_variant_id,bc_sku_raw,bc_price,bc_sale_price,bc_cost_price
SPCNA,SPCNA,Stocked,Dobbie Sparkle White-1,"72"" x 72""",12,10.5,126,variant,110128,96150,SPCNA,226.8,,162
DY,DY,Stocked,"Dynasty White-1, Beige-2","72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","48"" x 72""",18,14.45,260.09999999999997,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","42"" x 72""",18,13.1,235.79999999999998,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","36"" x 72""",24,8.95,214.79999999999998,variant,110133,59107,DY,144.48,0,0
CTY-WAFFA,CTY-WAFFA,Stocked,"CTY Waffle (Green) Eco-friendly White with 10.5"" window","72"" x 72""",12,22,264,variant,112419,95606,CTY-WAFFA,390.72,,264
CTY-WAFF78,CTY-WAFF78,Stocked,"CTY Waffle (Green) Eco-friendly White with 10.5"" window","72"" x 78""",12,23,276,variant,112419,95607,CTY-WAFF78,408.48,,276
SS,SS,Stocked,"San Suede White-1, Beige-2, Blue-7, Green-8, Pink-9, 
Champagne-12, Navy-17","72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS,SS,Stocked,"San Suede White-1, Beige-2, Blue-7, Green-8, Pink-9, 
Champagne-12, Navy-17","48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS,SS,Stocked,"San Suede White-1, Beige-2, Blue-7, Green-8, Pink-9, 
Champagne-12, Navy-17","42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS,SS,Stocked,"San Suede White-1, Beige-2, Blue-7, Green-8, Pink-9, 
Champagne-12, Navy-17","36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","72"" x 72""",12,7.55,90.6,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","48"" x 72""",18,7.3,131.4,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","42"" x 72""",18,6.65,119.7,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","36"" x 72""",24,4.55,109.19999999999999,product,110169,,SC,68,0,0
