sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price_old,bc_sale_price_old,bc_cost_price_old,reason,call_for_pricing_label,applied,status,error
10GAGESHOWERCURTAIN,10 gage shower curtain,product,111909,,5.99,0,5.99,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
BMT06-1,BMT06-1,variant,110187,96253,130.2,,93,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
BMT06-2,BMT06-2,variant,110187,96254,130.2,,93,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-150P,EZ-150P,variant,110181,59210,191.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-300P,EZ-300P,variant,110182,59211,215.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-CHVRWSLN,EZ-CHVRWSLN,variant,110177,59206,407.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-MORE,EZ-MORE,variant,110179,59208,227.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-RASE,EZ-RASE,variant,110178,59207,455.28,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-SSB-1,EZ-SSB-1,variant,112438,95569,285.6,0,5.99,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
EZ-STDU,EZ-STDU,variant,110176,59205,191.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
FT8700,FT8700,variant,110154,96228,95.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
FT8700-1,FT8700-1,product,110154,,59.88,0,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
FT8700-34,FT8700-34,variant,110154,96227,59.88,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
G-KNA-1,G-KNA-1,variant,110147,96209,159.6,,114,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA2000,KA2000,variant,110197,59233,2.37,0,1.6,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA255,KA255,variant,110198,59234,3.26,0,2.2,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA3000,KA3000,product,110196,,2.66,0,1.8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA3000-1,KA3000-1,variant,110196,105853,47.72,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA3000-13,KA3000-13,variant,110196,105854,47.72,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA3000-2,KA3000-2,variant,110196,105855,47.72,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA412R,KA412R,variant,110201,59237,15.98,0,10.8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA5000,KA5000,product,110195,,2.66,0,1.8,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA5000-1,KA5000-1,variant,110195,105124,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA5000-13,KA5000-13,variant,110195,105126,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA5000-2,KA5000-2,variant,110195,105125,,,0,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
KA711,KA711,variant,110193,59228,2.29,0,1.55,bc_sku_missing_from_price_sheet,CALL 605-858-0545 OR EMAIL SUPPORT@HOTELS4HUMANITY.COM FOR QUOTE,True,ok,
