sku_norm,sku_raw,price_each,case_pack,case_price_raw,sku_case_cost
BATHROOMACCESSORIES,Bathroom Accessories,,1,,
BELTS-WAFFLE,BELTS-WAFFLE,2.65,,n/a,
CC-CARRIER,CC-CARRIER,1.3,1,,1.3
CC-CARRIER100,CC-CARRIER100,0.95,1,,0.95
CC-MCARRIER,CC-MCARRIER,0.95,1,,0.95
CR570-36,CR570-36,23.65,1,,23.65
CR570-36SS,CR570-36SS,23.65,1,,23.65
CR570-60,CR570-60,32.5,1,,32.5
CR570-60SS,CR570-60SS,32.5,1,,32.5
CR570-72,CR570-72,46,1,,46
CR570-72SS,CR570-72SS,46,1,,46
CR570-84,CR570-84,55.7,1,,55.7
CR570-84SS,CR570-84SS,55.7,1,,55.7
CRUS60-BS,CRUS60-BS,95.15,1,,95.15
CRUS60-SS,CRUS60-SS,95.15,1,,95.15
DKS2003,DKS2003,CALL,1,,
E2Z-HB1-74-WSL,E2Z-HB1-74-WSL,27.65,12,331.8,331.79999999999995
E2Z-HB1-77-WSL,E2Z-HB1-77-WSL,28.85,12,346.2,346.20000000000005
E2Z-ML74-1WSLN,E2Z-ML74-1WSLN,24.8,12,297.6,297.6
E2Z-ML77-1WSLN,E2Z-ML77-1WSLN,26,12,312,312
EZ-150PA-1,EZ-150PA-1,13.2,12,158.4,158.39999999999998
EZ-300P77-1,EZ-300P77-1,14.7,12,176.4,176.39999999999998
EZ-300P77-1W,EZ-300P77-1W,16.2,12,194.4,194.39999999999998
EZ-300P77-2,EZ-300P77-2,14.7,12,176.4,176.39999999999998
EZ-300PA-1,EZ-300PA-1,13.5,12,162,162
EZ-300PA-1W,EZ-300PA-1W,15,12,180,180
EZ-DUO74-1-WSL,EZ-DUO74-1-WSL,21.15,12,253.8,253.79999999999998
EZ-DUO74-1C-WSLN,EZ-DUO74-1C-WSLN,26.05,12,312.6,312.6
EZ-DUO77-1-WSL,EZ-DUO77-1-WSL,21.8,12,261.6,261.6
EZ-DUO77-1C-WSL,EZ-DUO77-1C-WSL,27.7,12,332.4,332.4
EZ-DW74-1CWSL,EZ-DW74-1CWSL,30.75,12,369,369
EZ-DW77-1CWSL,EZ-DW77-1CWSL,31.05,12,372.6,372.6
EZ-DW80-1CWSL,EZ-DW80-1CWSL,31.35,12,376.2,376.20000000000005
EZ-DY80-1WSL,EZ-DY80-1WSL,24.2,12,290.4,290.4
EZ-DYBB74-2-W,EZ-DYBB74-2-W,15.9,12,190.8,190.8
EZ-EP77-1-W-WSLN,EZ-EP77-1-W-WSLN,28.6,12,343.2,343.20000000000005
EZ-KN77-1W,EZ-KN77-1W,13.6,12,163.2,163.2
EZ-LW80-1C-WSL,EZ-LW80-1C-WSL,34.2,12,410.4,410.40000000000003
EZ-LWA-1C-WSL,EZ-LWA-1C-WSL,32.45,12,389.4,389.40000000000003
EZ-MORE77-1-W,EZ-MORE77-1-W,15.65,12,187.8,187.8
EZ-MOREA-1,EZ-MOREA-1,15,12,180,180
EZ-MOREA-1-WSLN,EZ-MOREA-1-WSLN,21.4,12,256.8,256.79999999999995
EZ-MS74-S187B-WSLN,EZ-MS74-S187B-WSLN,29,12,348,348
EZ-MS74-SB-WSLN,EZ-MS74-SB-WSLN,29,12,348,348
EZ-MS74-WB-WSLN,EZ-MS74-WB-WSLN,29,12,348,348
EZ-MS74-WBL-WSLN,EZ-MS74-WBL-WSLN,29,12,348,348
EZ-MS74-WW-1WSLN,EZ-MS74-WW-1WSLN,29,12,348,348
EZ-MS77-SB-WSLN,EZ-MS77-SB-WSLN,29.6,12,355.2,355.20000000000005
EZ-MS77-WB-WSLN,EZ-MS77-WB-WSLN,29.6,12,355.2,355.20000000000005
