sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price_old,bc_cost_old,new_price,new_cost_price
BMT06,BMT06,product,110187,,130.2,93,11.24,
CTY-WAFF78,CTY-WAFF78,variant,112419,95607,386.4,276,33.35,
CTY-WAFFA,CTY-WAFFA,variant,112419,95606,369.6,264,31.9,
EZ-DY74-1WSL,EZ-DY74-1WSL,variant,111407,105872,349.44,249.6,30.16,20.8
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,variant,111407,105874,416.64,297.6,37.7,26
EZ-DYWB74-1,EZ-DYWB74-1,variant,111407,105870,241.92,172.8,20.88,14.4
EZ-DYWB74-1-W,EZ-DYWB74-1-W,variant,111407,105871,267.12,190.8,23.06,15.9
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,variant,111407,105873,369.6,264,31.9,22
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,variant,110180,102959,480.48,0,45.68,31.5
EZ-EP74-1-SLN,EZ-EP74-1-SLN,variant,110180,102956,447.72,0,43.36,29.9
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,variant,110180,102961,441.84,0,39.73,27.4
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,variant,110180,102960,500.64,0,47.42,32.7
EZ-EP77-1-SLN,EZ-EP77-1-SLN,variant,110180,102958,468.72,0,5.08,30.5
EZ-RL1-74,EZ-RL1-74,variant,112521,105880,113.4,81,10.73,7.4
EZ-RL1-77,EZ-RL1-77,variant,112521,105881,128.52,91.8,11.09,7.65
EZ-RL1-H74,EZ-RL1-H74,variant,112521,105884,135.24,96.6,12.54,8.65
EZ-RL1-H77,EZ-RL1-H77,variant,112521,105885,142.8,102,12.69,8.75
KA2000,KA2000,variant,110197,59233,18.48,13.2,2.32,1.6
KA255,KA255,variant,110198,59234,10.64,7.6,3.19,2.2
KA3000,KA3000,product,110196,,3.98,22,2.61,1.8
KA412R,KA412R,variant,110201,59237,167.88,0,15.66,10.8
KA5000,KA5000,product,110195,,30.24,21.6,2.61,1.8
KA711,KA711,variant,110193,59228,26.04,18.6,2.25,1.55
KA9100,KA9100,variant,110194,59229,30.24,21.6,2.61,1.8
KASS151,KASS151,variant,110199,59235,11.2,8,11.6,8
KASS256,KASS256,variant,110200,59236,12.32,8.8,12.76,8.8
QIMPDDK,QIMPDDK,variant,112466,105043,275.52,0,63.44,43.75
QIMPDDQ,QIMPDDQ,variant,112466,105042,321.44,0,57.13,39.4
QIMPDDT,QIMPDDT,variant,112466,105041,290.92,0,48.43,33.4
SC,SC,product,110169,,68,0,10.95,
SL2940M,SL2940M,variant,110191,96257,101.5,72.5,3.99,3.45
SL2940W,SL2940W,variant,110191,96256,96.25,68.75,3.99,2.75
SL2941,SL2941,product,110191,,107.5,0,2.83,1.95
SL2941-1-CT,SL2941-1-CT,variant,110191,96255,70,50,2.9,2
SP-2,SP-2,variant,110128,96152,226.8,162,15.95,
SPCNA,SPCNA,variant,110128,96150,226.8,162,15.23,
SV3C5MB-1,SV3C5MB-1,variant,110191,96258,301,215,3.12,2.15
