sku_norm,sku_raw,bc_type,bc_product_id,bc_variant_id,case_qty,sku_unit_cost,ahs_unit_sales,margin_case_price,target_vs_bc_pct,price_source,bc_price_old,bc_cost_old,new_price,new_cost_price
EZ-DY74-1WSL,EZ-DY74-1WSL,variant,111407,105872,12,20.8,30.16,369.41,0,ahscompany_sales_x_case_qty,361.92,249.6,361.92,249.6
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,variant,111407,105874,12,26,37.7,461.76,0,ahscompany_sales_x_case_qty,452.4,312,452.4,312
EZ-DYWB74-1,EZ-DYWB74-1,variant,111407,105870,12,14.4,20.88,255.74,0,ahscompany_sales_x_case_qty,250.56,172.8,250.56,172.8
EZ-DYWB74-1-W,EZ-DYWB74-1-W,variant,111407,105871,12,15.9,23.06,282.38,0,ahscompany_sales_x_case_qty,276.72,190.8,276.72,190.8
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,variant,111407,105873,12,22,31.9,390.72,0,ahscompany_sales_x_case_qty,382.8,264,382.8,264
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,variant,110180,102959,12,31.5,45.68,559.44,0,ahscompany_sales_x_case_qty,548.16,378,548.16,378
EZ-EP74-1-SLN,EZ-EP74-1-SLN,variant,110180,102956,12,29.9,43.36,531.02,0,ahscompany_sales_x_case_qty,520.32,358.8,520.32,358.8
EZ-EP74-1-W-WSLN,EZ-EP74-1-W-WSLN,variant,110180,102961,12,27.4,39.73,486.62,0,ahscompany_sales_x_case_qty,476.76,328.8,476.76,328.8
EZ-EP77-1-C-WSLN,EZ-EP77-1-C-WSLN,variant,110180,102960,12,32.7,47.42,580.75,0,ahscompany_sales_x_case_qty,569.04,392.4,569.04,392.4
EZ-RL1-74,EZ-RL1-74,variant,112521,105880,12,7.4,10.73,131.42,0,ahscompany_sales_x_case_qty,128.76,88.8,128.76,88.8
EZ-RL1-77,EZ-RL1-77,variant,112521,105881,12,7.65,11.09,135.86,0,ahscompany_sales_x_case_qty,133.08,91.8,133.08,91.8
EZ-RL1-H74,EZ-RL1-H74,variant,112521,105884,12,8.65,12.54,153.62,0,ahscompany_sales_x_case_qty,150.48,103.8,150.48,103.8
EZ-RL1-H77,EZ-RL1-H77,variant,112521,105885,12,8.75,12.69,155.4,0,ahscompany_sales_x_case_qty,152.28,105,152.28,105
QIMPDDK,QIMPDDK,variant,112466,105043,6,43.75,63.44,388.5,0,ahscompany_sales_x_case_qty,380.64,262.5,380.64,262.5
QIMPDDQ,QIMPDDQ,variant,112466,105042,8,39.4,57.13,466.5,0,ahscompany_sales_x_case_qty,457.04,315.2,457.04,315.2
QIMPDDT,QIMPDDT,variant,112466,105041,10,33.4,48.43,494.32,0,ahscompany_sales_x_case_qty,484.3,334,484.3,334
SL2940M,SL2940M,variant,110191,96257,25,3.45,3.99,127.65,0,ahscompany_sales_x_case_qty,99.75,86.25,99.75,86.25
SL2940W,SL2940W,variant,110191,96256,25,2.75,3.99,101.75,0,ahscompany_sales_x_case_qty,99.75,68.75,99.75,68.75
SL2941,SL2941,product,110191,,25,1.95,2.83,72.15,0,ahscompany_sales_x_case_qty,70.75,48.75,70.75,48.75
SL2941-1-CT,SL2941-1-CT,variant,110191,96255,25,2,2.9,74,0,ahscompany_sales_x_case_qty,72.5,50,72.5,50
SV3C5MB-1,SV3C5MB-1,variant,110191,96258,100,2.15,3.12,318.2,0,ahscompany_sales_x_case_qty,312,215,312,215
