parent_product_id,title,source_url,payload_sku,missing_sku_count,category_match_status,category_match_score,matched_product_id,matched_product_sku,matched_product_name,category_ids,category_paths,image_count,first_image_url
27219,Kartri Hang2It Vision Check Polyester Shower Curtain With Window & Snap Away Liner 72x77 White With Chrome Buckles 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Vision-Check-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-With-Chrome-Buckles-12-Per-Case-Price-Per-Each_p_27219.html,EZ-VC77-1-WSLN,1,matched,39.23,110138,VC2006,KARTRI| VISION CHECK SHEER| POLYESTE|R SHOWER CURTAIN W/ SEWN EYELETS 70x72 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-vc77-1-wslnnew.jpg
27706,Kartri Hang2It Nylon Shower Curtain 72x74 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Nylon-Shower-Curtain-72x74-White-12-Per-Case-Price-Per-Each_p_27706.html,EZ-NYA-1,1,matched,55.0,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,1,https://www.ahscompany.com/assets/images/kartri/ez-nya-1-1000new.jpg
23091,Kartri Hang2It Stardust Polyester Shower Curtain 72x74 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Stardust-Polyester-Shower-Curtain-72x74-White-or-Beige-12-Per-Case-Price-Per-Each_p_23091.html,EZ-STDUA,2,matched,97.22,110176,EZ-STDU,KARTRI| STARDUST EZY-HANG| POLYESTER SHOWER CURTAIN 72X74 WHITE OR BEIGE PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,7,https://www.ahscompany.com/assets/images/kartri/ez-stduanewbw.jpg
29871,Kartri Hang2It Poly Dot Polyester Shower Curtain With Window & Snap Away Liner 72x77 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Hang2It-Poly-Dot-Polyester-Shower-Curtain-With-Window-Snap-Away-Liner-72x77-White-12-Per-Case-Price-Per-Each_p_29871.html,EZ-W-PD77-1,1,matched,39.0,110178,EZ-RASE,KARTRI| RAMSEY EZY-HANG| POLYESTER SHOWER CURTAIN 72x74 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,4,https://www.ahscompany.com/assets/images/kartri/ez-w-pd77-1new.jpg
19876,Kartri Vision Check Sheer Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Vision-Check-Sheer-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19876.html,VCA,2,matched,78.46,110138,VC2006,KARTRI| VISION CHECK SHEER| POLYESTE|R SHOWER CURTAIN W/ SEWN EYELETS 70x72 PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/vc2006.jpg
27177,Kartri Satin Box Polyester Shower Curtain With Sewn Eyelets 72x72 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Satin-Box-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-12-Per-Case-Price-Per-Each_p_27177.html,SBOXA,1,matched,43.33,110126,ML2007,Kartri | Millennium | Polyester Shower Curtain w/ Sewn Eyelets | Pack of 12,5446,Hotel Bathroom Supplies > Hotel Shower Curtains,2,https://www.ahscompany.com/assets/images/kartri/sbox-correct.jpg
19872,Kartri Eco-Friendly Waffle Supreme Polyester Shower Curtain With Metal Grommets 72x72 White 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Eco-Friendly-Waffle-Supreme-Polyester-Shower-Curtain-With-Metal-Grommets-72x72-White-12-Per-Case-Price-Per-Each_p_19872.html,G-WSA-1,1,matched,70.0,110136,WA4030SU-1,KARTRI| SUPREME WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,2,https://www.ahscompany.com/assets/images/kartri/wa4030su.jpg
27183,Kartri Urban Waffle Polyester Shower Curtain With Metal Grommets 72x72 White 6 Per Case Price Per Each,https://www.ahscompany.com/Kartri-Urban-Waffle-Polyester-Shower-Curtain-With-Metal-Grommets-72x72-White-6-Per-Case-Price-Per-Each_p_27183.html,G-URA,1,matched,43.33,110136,WA4030SU-1,KARTRI| SUPREME WAFFLE| POLYESTER SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12,5446|5450,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Fabric Curtains,3,https://www.ahscompany.com/assets/images/kartri/ur2011-1.jpg
19917,Kartri 8 Gauge Peva Plain Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,https://www.ahscompany.com/Kartri-8-Gauge-Peva-Plain-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19917.html,PVA BM,2,matched,106.67,110155,PA2008,KARTRI| 8 GAUGE PEVA PLAIN| VINYL SHOWER CURTAIN W/ METAL GROMMETS 72x72 PACK OF 12,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/kartri/pa2008.jpg
27188,Kartri 4 Gauge Vinyl Liner With Metal Grommets White or Beige 72x72 24 Per Case Price Per Each,https://www.ahscompany.com/Kartri-4-Gauge-Vinyl-Liner-With-Metal-Grommets-White-or-Beige-72x72-24-Per-Case-Price-Per-Each_p_27188.html,VLCNAA,2,matched,68.18,110173,VS5700-1,KARTRI| 5 GAUGE VINSOFT| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 24,5446|5447,Hotel Bathroom Supplies > Hotel Shower Curtains || Hotel Bathroom Supplies > Hotel Shower Curtains > Vinyl Curtains,2,https://www.ahscompany.com/assets/images/kartri/vl4700.jpg
