sku_norm,sku_raw,sheet_name,matrix_rows,name_color_rows,size_variants,sizes,case_pack_variants,case_packs,min_price_each,max_price_each,name_color_examples
CH,CH,Stocked,1,1,1,"72"" x 72""",1,12,,,"Crosshatch (has 20"" of integral mesh) Cool Gray-11, Cooper-73, Taupe-82                
standard w/ metal grommets"
CTY-WAFF78,CTY-WAFF78,Stocked,1,1,1,"72"" x 78""",1,12,23,23,"CTY Waffle (Green) Eco-friendly White with 10.5"" window"
CTY-WAFFA,CTY-WAFFA,Stocked,1,1,1,"72"" x 72""",1,12,22,22,"CTY Waffle (Green) Eco-friendly White with 10.5"" window"
DK,DK,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,15.15,25.25,"Duck Twill White-1, Beige-2 (100% Cotton)"
DY,DY,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,8.95,14.9,"Dynasty White-1, Beige-2"
FFI-WAF1178,FFI-WAF1178,Stocked,1,1,1,"72"" x 78""",1,12,23,23,"Luxor Waffle (Green) Eco-friendly White with 10.5"" window"
FFI-WAF11A,FFI-WAF11A,Stocked,1,1,1,"72"" x 72""",1,12,22,22,"Luxor Waffle (Green) Eco-friendly White with 10.5"" window"
FT,FT,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,4.55,7.55,"Forester White-1, Green-8"
FTCNAA,FTCNAA,Stocked,1,1,1,"72"" x 72""",1,12,7.05,7.05,Forester White-1
G-KNA,G-KNA,Stocked,1,1,1,"72"" x 72""",1,12,12.2,12.2,Karlon (Green) Eco-friendly White-1
G-SHS-UR7278,G-SHS-UR7278,Stocked,1,1,1,"72"" x 78""",1,12,24,24,"Urban Waffle (Green) Eco-friendly White with 10.5"" window"
G-SHS-URA,G-SHS-URA,Stocked,1,1,1,"72"" x 72""",1,12,23,23,"Urban Waffle (Green) Eco-friendly White with 10.5"" window"
G-UR78,G-UR78,Stocked,1,1,1,"72"" x 78""",1,12,28.8,28.8,Urban Waffle (Green) Eco-friendly White (no window)
G-URA,G-URA,Stocked,1,1,1,"72"" x 72""",1,12,27.8,27.8,Urban Waffle (Green) Eco-friendly White (no window)
G-WS78,G-WS78,Stocked,1,1,1,"72"" x 78""",1,12,23,23,Supreme Waffle (Green) Eco-friendly White-1 (no window)
G-WSA,G-WSA,Stocked,1,1,1,"72"" x 72""",1,12,20,20,Supreme Waffle (Green) Eco-friendly White-1 (no window)
GR,GR,Stocked,1,1,1,"72"" x 72""",1,12,,,"Gracie Dune-36, Malt-45, Pearl-46, Auburn-49, Mocha-50, Palm-59, Buff-61, Steel-83, Copen-86, Cork-90, Mesa-94, Pine-95                          
standard w/ sewn eyelets"
GRT-HA,GRT-HA,Stocked,1,1,1,"72"" x 72""",1,12,19.2,19.2,(Green) Hayes Blue-7
GRT-HPSA,GRT-HPSA,Stocked,1,1,1,"72"" x 72""",1,12,19.2,19.2,(Green) Handpainted Stripe Grey-11
GRT-WCFA,GRT-WCFA,Stocked,1,1,1,"72"" x 72""",1,12,19.2,19.2,(Green) Watercolor Fish Blue-7
KN,KN,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,9.5,15.8,"Karlon Polyester White-1, Beige-2, Blue-7, Gray-11, 
Dusk Rose-20"
KNE,KNE,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,9.8,16.3,"Karlon Executive White-1, Beige-2                             
standard w/ sewn eyelets"
MA,MA,Stocked,1,1,1,"72"" x 72""",1,12,,,"Madeline White-1, Parchment-3, Blue-7, Peach-19, 
Claret-31, Light Sage-32, Bayberry-35, Dune-36
standard w/ sewn eyelets"
ML,ML,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,10.3,17.2,"Millennium White-1, Brown -10"
NY,NY,Stocked,4,1,4,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",1,12,10.25,17.6,"Nylon White-1, Green-8"
NYCH7272,NYCH7272,Stocked,1,1,1,"72"" x 72""",1,12,11.3,11.3,Nylon Beige-2
NYVNA,NYVNA,Stocked,1,1,1,"72"" x 72""",1,12,11.3,11.3,Nylon White-1
NYVNAMW,NYVNA MW,Stocked,1,1,1,"72"" x 72""",1,12,12.4,12.4,Nylon White-1 with magnetic weights
