sku_norm,sku_raw,sheet_name,name_color,size_hint,case_pack,price_each,case_price_calc,bc_type,bc_product_id,bc_variant_id,bc_sku_raw,bc_price,bc_sale_price,bc_cost_price
SPCNA,SPCNA,Stocked,Dobbie Sparkle White-1,"72"" x 72""",12,10.5,126,variant,110128,96150,SPCNA,226.8,,162
DY,DY,Stocked,"Dynasty White-1, Beige-2","72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","48"" x 72""",12,14.45,173.39999999999998,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","42"" x 72""",12,13.1,157.2,variant,110133,59107,DY,144.48,0,0
DY,DY,Stocked,"Dynasty White-1, Beige-2","36"" x 72""",12,8.95,107.39999999999999,variant,110133,59107,DY,144.48,0,0
CTY-WAFFA,CTY-WAFFA,Stocked,"CTY Waffle (Green) Eco-friendly White with 10.5"" window","72"" x 72""",12,22,264,variant,112419,95606,CTY-WAFFA,369.6,,264
CTY-WAFF78,CTY-WAFF78,Stocked,"CTY Waffle (Green) Eco-friendly White with 10.5"" window","72"" x 78""",12,23,276,variant,112419,95607,CTY-WAFF78,386.4,,276
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","72"" x 72""",12,7.55,90.6,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","48"" x 72""",12,7.3,87.6,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","42"" x 72""",12,6.65,79.80000000000001,product,110169,,SC,68,0,0
SC,SC,Stocked,"San Crepe White-1, Beige-2, Frosty-24","36"" x 72""",12,4.55,54.599999999999994,product,110169,,SC,68,0,0
