sku_norm,sku_raw,record_type,product_id,parent_product_id,parent_title,variant_sku,sku_cost,sku_case_pack,sku_case_cost,ahscompany_price,ahscompany_case_price,stock_status,url
BM-FROSTY,BM-Frosty,variant,19930,19930,Kartri 5 Gauge Vinsoft Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,BM-Frosty,,,,8.12,,In Stock,https://www.ahscompany.com/Kartri-5-Gauge-Vinsoft-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19930.html
BM-WHITE,BM-White,variant,19930,19930,Kartri 5 Gauge Vinsoft Vinyl Shower Curtain With Metal Grommets 72x72 White or Frosty 12 Per Case Price Per Each,BM-White,,,,8.12,,In Stock,https://www.ahscompany.com/Kartri-5-Gauge-Vinsoft-Vinyl-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Frosty-12-Per-Case-Price-Per-Each_p_19930.html
BMT06-1WHITE,BMT06-1 White,variant,19953,19953,Kartri Rubber Bath Mats 13.5x30 White or Beige 12 Per Case Price Per Each,BMT06-1 White,$7.75 EA / $93.00 CS,,,11.24,,In Stock,https://www.ahscompany.com/Kartri-Rubber-Bath-Mats-135x30-White-or-Beige-12-Per-Case-Price-Per-Each_p_19953.html
BMT06-2BEIGE,BMT06-2 Beige,variant,19953,19953,Kartri Rubber Bath Mats 13.5x30 White or Beige 12 Per Case Price Per Each,BMT06-2 Beige,$7.75 EA / $93.00 CS,,,11.24,,In Stock,https://www.ahscompany.com/Kartri-Rubber-Bath-Mats-135x30-White-or-Beige-12-Per-Case-Price-Per-Each_p_19953.html
DK,DK,product,19879,19879,Kartri Duck Twill Shower Curtain With Metal Grommets 72x72 White or Beige 12 Per Case Price Per Each,DK,,,,36.61,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19879.html
DK-2,DK-2,product,30236,30236,Kartri Duck Twill Shower Curtain With Metal Grommets 36x72 White or Beige 24 Per Case Price Per Each,DK-2,,,,21.97,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30236.html
DK-2-BEIGE,DK-2 -Beige,variant,30236,30236,Kartri Duck Twill Shower Curtain With Metal Grommets 36x72 White or Beige 24 Per Case Price Per Each,DK-2 -Beige,,,,21.97,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30236.html
DK-2-WHITE,DK-2 -White,variant,30236,30236,Kartri Duck Twill Shower Curtain With Metal Grommets 36x72 White or Beige 24 Per Case Price Per Each,DK-2 -White,,,,21.97,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30236.html
DK-BEIGE,DK -Beige,variant,19879,19879,Kartri Duck Twill Shower Curtain With Metal Grommets 72x72 White or Beige 12 Per Case Price Per Each,DK -Beige,,,,36.61,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19879.html
DK-WHITE,DK -White,variant,19879,19879,Kartri Duck Twill Shower Curtain With Metal Grommets 72x72 White or Beige 12 Per Case Price Per Each,DK -White,,,,36.61,,In Stock,https://www.ahscompany.com/Kartri-Duck-Twill-Shower-Curtain-With-Metal-Grommets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19879.html
DY-1WHITE,DY-1 White,variant,19860,19860,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,DY-1 White,,,,21.61,,In Stock,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19860.html
DY-2,DY-2,product,30237,30237,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,DY-2,,,,12.98,,In Stock,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30237.html
DY-2-1WHITE,DY-2-1 White,variant,30237,30237,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,DY-2-1 White,,,,12.98,,In Stock,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30237.html
DY-2-2BEIGE,DY-2-2 Beige,variant,30237,30237,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 36x72 White or Beige 24 Per Case Price Per Each,DY-2-2 Beige,,,,12.98,,In Stock,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-36x72-White-or-Beige-24-Per-Case-Price-Per-Each_p_30237.html
DY-2BEIGE,DY-2 Beige,variant,19860,19860,Kartri Dynasty Polyester Shower Curtain With Sewn Eyelets 72x72 White or Beige 12 Per Case Price Per Each,DY-2 Beige,,,,21.61,,In Stock,https://www.ahscompany.com/Kartri-Dynasty-Polyester-Shower-Curtain-With-Sewn-Eyelets-72x72-White-or-Beige-12-Per-Case-Price-Per-Each_p_19860.html
