base_sku_norm,sheet_name,option_sku_rows,unique_option_skus,color_variants,color_code_variants,size_variants,case_pack_variants,colors,color_codes,sizes,case_packs,min_price_each,max_price_each
CH,Stocked,3,3,3,3,1,1,Cool Gray | Cooper | Taupe,11 | 73 | 82,"72"" x 72""",12,,
CTY-WAFF78,Stocked,1,1,1,0,1,1,window,,"72"" x 78""",12,23,23
CTY-WAFFA,Stocked,1,1,1,0,1,1,window,,"72"" x 72""",12,22,22
DK,Stocked,8,8,2,2,4,3,White | Beige,1 | 2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,15.15,25.25
DY,Stocked,8,8,2,2,4,3,White | Beige,1 | 2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,8.95,14.9
FFI-WAF1178,Stocked,1,1,1,0,1,1,window,,"72"" x 78""",12,23,23
FFI-WAF11A,Stocked,1,1,1,0,1,1,window,,"72"" x 72""",12,22,22
FT,Stocked,8,8,2,2,4,3,White | Green,1 | 8,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,4.55,7.55
FTCNAA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,7.05,7.05
G-KNA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,12.2,12.2
G-SHS-UR7278,Stocked,1,1,1,0,1,1,window,,"72"" x 78""",12,24,24
G-SHS-URA,Stocked,1,1,1,0,1,1,window,,"72"" x 72""",12,23,23
G-UR78,Stocked,1,1,1,0,1,1,window,,"72"" x 78""",12,28.8,28.8
G-URA,Stocked,1,1,1,0,1,1,window,,"72"" x 72""",12,27.8,27.8
G-WS78,Stocked,1,1,1,1,1,1,White,1,"72"" x 78""",12,23,23
G-WSA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,20,20
GR,Stocked,12,12,12,12,1,1,Dune | Malt | Pearl | Auburn | Mocha | Palm | Buff | Steel | Copen | Cork | Mesa | Pine,36 | 45 | 46 | 49 | 50 | 59 | 61 | 83 | 86 | 90 | 94 | 95,"72"" x 72""",12,,
GRT-HA,Stocked,1,1,1,1,1,1,Blue,7,"72"" x 72""",12,19.2,19.2
GRT-HPSA,Stocked,1,1,1,1,1,1,Grey,11,"72"" x 72""",12,19.2,19.2
GRT-WCFA,Stocked,1,1,1,1,1,1,Blue,7,"72"" x 72""",12,19.2,19.2
KN,Stocked,20,20,5,5,4,3,White | Beige | Blue | Gray | Dusk Rose,1 | 2 | 7 | 11 | 20,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,9.5,15.8
KNE,Stocked,8,8,2,2,4,3,White | Beige,1 | 2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,9.8,16.3
MA,Stocked,8,8,8,8,1,1,White | Parchment | Blue | Peach | Claret | Light Sage | Bayberry | Dune,1 | 3 | 7 | 19 | 31 | 32 | 35 | 36,"72"" x 72""",12,,
ML,Stocked,8,8,2,2,4,3,White | Brown,1 | 10,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,10.3,17.2
NY,Stocked,8,8,2,2,4,3,White | Green,1 | 8,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,10.25,17.6
NYCH7272,Stocked,1,1,1,1,1,1,Beige,2,"72"" x 72""",12,11.3,11.3
NYVNA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,11.3,11.3
NYVNAMW,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,12.4,12.4
PF7272,Stocked,1,1,1,1,1,1,Frosty,24,"72"" x 72""",12,5.95,5.95
PF7278,Stocked,1,1,1,1,1,1,Frosty,24,"72"" x 72""",12,6.45,6.45
PQ,Stocked,15,15,15,15,1,1,Dune | Malt | Pearl | Mocha | Sand | Steel | Copen | Gull | Linen | Cork | Chestnut | Marsh | Kale | Moss | Heather,36 | 45 | 46 | 50 | 51 | 83 | 86 | 87 | 89 | 90 | 134 | 135 | 136 | 137 | 138,"72"" x 72""",12,,
PVABM,Stocked,2,2,2,2,1,1,White | Frosty,1 | 24,"72"" x 72""",12,7.4,7.4
RG,Stocked,8,8,2,1,4,3,White | Beige,1,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,5.3,8.85
SBOX72,Stocked,4,4,1,1,4,3,White,1,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,10.4,17.35
SBOXA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,13.9,13.9
SC,Stocked,12,12,3,3,4,3,White | Beige | Frosty,1 | 2 | 24,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,4.55,7.55
SCCNAA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,6.8,6.8
SCE,Stocked,12,12,3,2,4,3,White | Beige | Frosty,1 | 24,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,5.4,10.9
SHLD,Stocked,24,24,6,6,4,3,Snow | Cream | Shadow | Blue Moon | Palm | Doeskin,1 | 4 | 11 | 7 | 59 | 60,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,23.55,39.25
SM,Stocked,16,16,4,4,4,3,Fog | Halo | Oatmeal | Scone,78 | 79 | 80 | 81,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,23.45,39.05
SN,Stocked,4,4,1,1,4,3,Beige,2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,10.55,16.8
SNW,Stocked,8,8,2,2,4,3,White | Beige,1 | 2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,10.25,17.1
SO,Stocked,12,12,12,12,1,1,Dune | Pearl | Sand | Steel | Copen | Gull | Harvest | Linen | Cork | Iron | Surf | Forest,36 | 46 | 51 | 83 | 86 | 87 | 88 | 89 | 90 | 91 | 92 | 93,"72"" x 72""",12,,
SP,Stocked,20,20,5,5,4,3,White | Beige | Blue | Jade | Bayberry,1 | 2 | 7 | 23 | 35,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,11,18.3
SPCNA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,10.5,10.5
SS,Stocked,28,28,7,7,4,3,White | Beige | Blue | Green | Pink | Champagne | Navy,1 | 2 | 7 | 8 | 9 | 12 | 17,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,4.8,8
ST,Stocked,4,4,1,1,4,3,Clear,12,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,4.25,7.05
SUC,Stocked,48,48,12,12,4,3,White | Beige | Parchment | Blue | Green | Gray | Black | Blush | Jade | Frosty | Smoke | Fern,1 | 2 | 3 | 7 | 8 | 11 | 18 | 21 | 23 | 24 | 25 | 37,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,14.15,23.6
SW,Stocked,4,4,1,1,4,3,White,1,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,3.9,6.5
UR,Stocked,4,4,1,1,4,3,White,1,"72"" x 78"" | 72"" x 72"" | 48"" x 72"" | 36"" x 72""",12 | 18 | 24,12.6,27.4
VCA,Stocked,2,2,2,2,1,1,White | Beige,1 | 2,"72"" x 72""",12,14,14
VL3AA,Stocked,1,1,1,1,1,1,White,1,"72"" x 72""",12,3.75,3.75
VLCNAA,Stocked,2,2,2,2,1,1,White | Beige,1 | 2,"72"" x 72""",12,4.1,4.1
VSCNAABM,Stocked,2,2,2,2,1,1,White | Frosty,1 | 24,"72"" x 72""",12,5.6,5.6
VT,Stocked,20,20,5,5,4,3,White | Beige | Blue | Green | Frosty,1 | 2 | 7 | 8 | 24,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,3.4,5.7
VTCNAA,Stocked,2,2,2,2,1,1,White | Beige,1 | 2,"72"" x 72""",12,5.6,5.6
WE,Stocked,8,8,2,2,4,3,White | Beige,1 | 2,"72"" x 72"" | 48"" x 72"" | 42"" x 72"" | 36"" x 72""",12 | 18 | 24,15.1,25.2
WS,Stocked,4,4,1,1,4,3,White,1,"72"" x 78"" | 72"" x 72"" | 48"" x 72"" | 36"" x 72""",12 | 18 | 24,12.6,27.4
