option_sku,option_sku_compact,base_sku_norm,base_sku_raw,sheet_name,header_row,data_row,price_column_index,size_hint,case_pack,price_each,sku_case_cost,name_color_source,color_label,color_code,color_key,derivation_rule
SPCNA-C001-S72X72-PK12,SPCNAC001S72X72PK12,SPCNA,SPCNA,Stocked,9,10,4,"72"" x 72""",12,10.5,126,Dobbie Sparkle White-1,White,1,C001,base_sku + color + size + case_pack
SP-C001-S72X72-PK12,SPC001S72X72PK12,SP,SP,Stocked,9,11,4,"72"" x 72""",12,18.3,219.60000000000002,"Dobbie White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SP-C002-S72X72-PK12,SPC002S72X72PK12,SP,SP,Stocked,9,11,4,"72"" x 72""",12,18.3,219.60000000000002,"Dobbie White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SP-C001-S48X72-PK18,SPC001S48X72PK18,SP,SP,Stocked,9,11,5,"48"" x 72""",18,17.75,319.5,"Dobbie White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SP-C002-S48X72-PK18,SPC002S48X72PK18,SP,SP,Stocked,9,11,5,"48"" x 72""",18,17.75,319.5,"Dobbie White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SP-C001-S42X72-PK18,SPC001S42X72PK18,SP,SP,Stocked,9,11,6,"42"" x 72""",18,16.1,289.8,"Dobbie White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SP-C002-S42X72-PK18,SPC002S42X72PK18,SP,SP,Stocked,9,11,6,"42"" x 72""",18,16.1,289.8,"Dobbie White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SP-C001-S36X72-PK24,SPC001S36X72PK24,SP,SP,Stocked,9,11,7,"36"" x 72""",24,11,264,"Dobbie White-1, Beige-2",White,1,C001,base_sku + color + size + case_pack
SP-C002-S36X72-PK24,SPC002S36X72PK24,SP,SP,Stocked,9,11,7,"36"" x 72""",24,11,264,"Dobbie White-1, Beige-2",Beige,2,C002,base_sku + color + size + case_pack
SP-C007-S72X72-PK12,SPC007S72X72PK12,SP,SP,Stocked,9,12,4,"72"" x 72""",12,18.3,219.60000000000002,"Dobbie Sparkle Blue-7, Jade-23, Bayberry-35",Blue,7,C007,base_sku + color + size + case_pack
SP-C023-S72X72-PK12,SPC023S72X72PK12,SP,SP,Stocked,9,12,4,"72"" x 72""",12,18.3,219.60000000000002,"Dobbie Sparkle Blue-7, Jade-23, Bayberry-35",Jade,23,C023,base_sku + color + size + case_pack
SP-C035-S72X72-PK12,SPC035S72X72PK12,SP,SP,Stocked,9,12,4,"72"" x 72""",12,18.3,219.60000000000002,"Dobbie Sparkle Blue-7, Jade-23, Bayberry-35",Bayberry,35,C035,base_sku + color + size + case_pack
SP-C007-S48X72-PK18,SPC007S48X72PK18,SP,SP,Stocked,9,12,5,"48"" x 72""",18,17.75,319.5,"Dobbie Sparkle Blue-7, Jade-23, Bayberry-35",Blue,7,C007,base_sku + color + size + case_pack
SP-C023-S48X72-PK18,SPC023S48X72PK18,SP,SP,Stocked,9,12,5,"48"" x 72""",18,17.75,319.5,"Dobbie Sparkle Blue-7, Jade-23, Bayberry-35",Jade,23,C023,base_sku + color + size + case_pack
