option_sku,base_sku_norm,base_sku_raw,color_label,color_code,size_hint,case_pack,price_each,sku_case_cost,bc_type,bc_product_id,bc_variant_id,bc_sku_raw,bc_price,bc_sale_price,bc_cost_price
SPCNA-C001-S72X72-PK12,SPCNA,SPCNA,White,1,"72"" x 72""",12,10.5,126,variant,110128,96150,SPCNA,226.8,,162
DY-C001-S72X72-PK12,DY,DY,White,1,"72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY-C002-S72X72-PK12,DY,DY,Beige,2,"72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY-C001-S48X72-PK18,DY,DY,White,1,"48"" x 72""",18,14.45,260.09999999999997,variant,110133,59107,DY,144.48,0,0
DY-C002-S48X72-PK18,DY,DY,Beige,2,"48"" x 72""",18,14.45,260.09999999999997,variant,110133,59107,DY,144.48,0,0
DY-C001-S42X72-PK18,DY,DY,White,1,"42"" x 72""",18,13.1,235.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C002-S42X72-PK18,DY,DY,Beige,2,"42"" x 72""",18,13.1,235.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C001-S36X72-PK24,DY,DY,White,1,"36"" x 72""",24,8.95,214.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C002-S36X72-PK24,DY,DY,Beige,2,"36"" x 72""",24,8.95,214.79999999999998,variant,110133,59107,DY,144.48,0,0
CTYWAFFA-CLWINDOW-S72X72-PK12,CTY-WAFFA,CTY-WAFFA,window,,"72"" x 72""",12,22,264,variant,112419,95606,CTY-WAFFA,369.6,,264
CTYWAFF78-CLWINDOW-S72X78-PK12,CTY-WAFF78,CTY-WAFF78,window,,"72"" x 78""",12,23,276,variant,112419,95607,CTY-WAFF78,386.4,,276
SC-C001-S72X72-PK12,SC,SC,White,1,"72"" x 72""",12,7.55,90.6,product,110169,,SC,68,0,0
SC-C002-S72X72-PK12,SC,SC,Beige,2,"72"" x 72""",12,7.55,90.6,product,110169,,SC,68,0,0
SC-C024-S72X72-PK12,SC,SC,Frosty,24,"72"" x 72""",12,7.55,90.6,product,110169,,SC,68,0,0
SC-C001-S48X72-PK18,SC,SC,White,1,"48"" x 72""",18,7.3,131.4,product,110169,,SC,68,0,0
SC-C002-S48X72-PK18,SC,SC,Beige,2,"48"" x 72""",18,7.3,131.4,product,110169,,SC,68,0,0
SC-C024-S48X72-PK18,SC,SC,Frosty,24,"48"" x 72""",18,7.3,131.4,product,110169,,SC,68,0,0
SC-C001-S42X72-PK18,SC,SC,White,1,"42"" x 72""",18,6.65,119.7,product,110169,,SC,68,0,0
SC-C002-S42X72-PK18,SC,SC,Beige,2,"42"" x 72""",18,6.65,119.7,product,110169,,SC,68,0,0
SC-C024-S42X72-PK18,SC,SC,Frosty,24,"42"" x 72""",18,6.65,119.7,product,110169,,SC,68,0,0
SC-C001-S36X72-PK24,SC,SC,White,1,"36"" x 72""",24,4.55,109.19999999999999,product,110169,,SC,68,0,0
SC-C002-S36X72-PK24,SC,SC,Beige,2,"36"" x 72""",24,4.55,109.19999999999999,product,110169,,SC,68,0,0
SC-C024-S36X72-PK24,SC,SC,Frosty,24,"36"" x 72""",24,4.55,109.19999999999999,product,110169,,SC,68,0,0
