sku_norm,sku_raw,bc_type,product_id,variant_id,bc_price,bc_cost_price,name
10GAGESHOWERCURTAIN,10 gage shower curtain,product,111909,,5.99,5.99,San Ford |10 Gauge | w/ Metal Grommets - Sold by Case
BMT06-1,BMT06-1,variant,110187,96253,130.2,93,
BMT06-2,BMT06-2,variant,110187,96254,130.2,93,
CR570,CR570,product,110188,,347.88,0,KARTRI| STANDARD| SHOWER ROD 60in WIDE W/ FLANGES CHROME PACK OF 12
DYNASTYSHOWERCURTAIN,Dynasty Shower Curtain,product,111407,,263.88,0,KARTRI | DYNASTY | HANG2IT | POLYESTER SHOWER CURTAIN | PACK OF 12
EMPIREWAFFLESHOWERCURTAIN,Empire Waffle shower curtain,product,110180,,113.4,0,KARTRI| EMPIRE WAFFLE EZY-HANG| POLYESTER SHOWER CURTAIN W/ VOILE WINDOW & SNAP AWAY LINER 72X74 WHITE PACK OF 12
EZ-150P,EZ-150P,variant,110181,59210,191.88,0,
EZ-300P,EZ-300P,variant,110182,59211,215.88,0,
EZ-CHVRWSLN,EZ-CHVRWSLN,variant,110177,59206,407.88,0,
EZ-EP74-2-SLN,EZ-EP74-2-SLN,variant,110180,106832,531.02,358.8,
EZ-EP77-1-W-WSLN,EZ-EP77-1-W-WSLN,variant,110180,106836,507.94,343.2,
EZ-MORE,EZ-MORE,variant,110179,59208,227.88,0,
EZ-RASE,EZ-RASE,variant,110178,59207,455.28,0,
EZ-REPPD74-1,EZ-REPPD74-1,variant,112521,105878,190.03,128.4,
EZ-REPPD77-1,EZ-REPPD77-1,variant,112521,105879,198.02,133.8,
EZ-RL1-DW74,EZ-RL1-DW74,variant,112521,105876,145.63,98.4,
EZ-RL1-DW80,EZ-RL1-DW80,variant,112521,105877,152.74,103.2,
EZ-RL1-SERIES,EZ-RL1- series,product,112521,,113.4,0,Kartri - Snap Away Liner | Pack of !2
EZ-RL2-74,EZ-RL2-74,variant,112521,105882,131.42,88.8,
EZ-RL2-77,EZ-RL2-77,variant,112521,105883,135.86,91.8,
EZ-RL2-H74,EZ-RL2-H74,variant,112521,105886,153.62,103.8,
EZ-SSB-1,EZ-SSB-1,variant,112438,95569,285.6,5.99,
EZ-STDU,EZ-STDU,variant,110176,59205,191.88,0,
FT8700,FT8700,variant,110154,96228,95.88,0,
FT8700-1,FT8700-1,product,110154,,59.88,0,KARTRI| 8 GAUGE FORESTER| VINYL SHOWER CURTAIN W/ METAL GROMMETS PACK OF 12
FT8700-34,FT8700-34,variant,110154,96227,59.88,0,
G-KNA-1,G-KNA-1,variant,110147,96209,159.6,114,
HOTELCOVERLET,hotel coverlet,product,112466,,275.52,0,Double Diamond Coverlet
KA3000-1,KA3000-1,variant,110196,105853,47.72,0,
KA3000-13,KA3000-13,variant,110196,105854,47.72,0,
KA3000-2,KA3000-2,variant,110196,105855,47.72,0,
KA5000-1,KA5000-1,variant,110195,105124,,0,
KA5000-13,KA5000-13,variant,110195,105126,,0,
KA5000-2,KA5000-2,variant,110195,105125,,0,
KA748/1,KA748/1,variant,110183,59212,311.88,0,
KL4050,KL4050,variant,110142,96197,327.92,0,
KL4050-1,KL4050-1,product,110142,,199.92,0,KARTRI| MADELINE| FLAME RETARDANT POLY/AVORA BLEND SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8
KL4050-1-34,KL4050-1-34,variant,110142,96196,199.92,0,
KL4070,KL4070,variant,110137,96185,311.92,0,
KL4070-1,KL4070-1,product,110137,,191.92,0,KARTRI| KATHRYN| FLAME RETARDANT POLY/AVORA BLEND| SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8
KL4070-1-34,KL4070-1-34,variant,110137,96184,191.92,0,
KL4090,KL4090,variant,110143,96202,279.92,0,
KL4090-1,KL4090-1,product,110143,,167.92,0,KARTRI| SOPHIA| FLAME RETARDANT POLY/AVORA BLEND SHOWER CURTAIN W/ SEWN EYELETS PACK OF 8
KL4090-1-34,KL4090-1-34,variant,110143,96201,167.92,0,
KN-1,KN-1,variant,110147,96210,139.44,99.6,
KN-2,KN-2,variant,110147,96211,159.6,114,
KN-2STALL,KN-2 Stall,variant,110147,96212,139.44,99.6,
KN-7,KN-7,variant,110147,96213,240.24,171.6,
KN-7STALL,KN-7 Stall,variant,110147,96214,139.44,99.6,
KN3000,KN3000,product,110147,,187.32,0,Eco-Friendly Karlon Polyester Shower Curtain  by Kartri
KN3000-DU-36,KN3000-DU-36,variant,110147,96218,,0,
