sku_norm,price_sheet_sku_raw,price_sheet_price_each,price_sheet_case_pack,price_sheet_case_cost,bc_sku_raw,bc_type,bc_product_id,bc_variant_id,bc_price,bc_cost_price,bc_name
BMT06,BMT06,$7.75 EA / $93.00 CS,12,,BMT06,product,110187,,130.2,93,KARTRI| RUBBER BATH MATS 29X13 1/2 WHITE OR BEIGE PACK OF 12
CR570-36,CR570-36,23.65,20,473,CR570-36,variant,110188,106822,700.04,473,
CR570-36SS,CR570-36SS,23.65,20,473,CR570-36SS,variant,110188,106823,700.04,473,
CR570-60,CR570-60,32.5,10,325,CR570-60,variant,110188,106824,481,325,
CR570-60SS,CR570-60SS,32.5,10,325,CR570-60SS,variant,110188,106825,481,325,
CR570-72,CR570-72,46,10,460,CR570-72,variant,110188,106826,680.8,460,
CR570-72SS,CR570-72SS,46,10,460,CR570-72SS,variant,110188,106827,680.8,460,
CR570-84,CR570-84,55.7,10,557,CR570-84,variant,110188,106828,824.36,557,
CR570-84SS,CR570-84SS,55.7,10,557,CR570-84SS,variant,110188,106829,824.36,557,
CTY-WAFF78,CTY-WAFF78,23,12,276,CTY-WAFF78,variant,112419,95607,408.48,276,
CTY-WAFFA,CTY-WAFFA,22,12,264,CTY-WAFFA,variant,112419,95606,390.72,264,
DY,DY,14.9,12,178.8,DY,variant,110133,59107,144.48,0,
EZ-DY74-1WSL,EZ-DY74-1WSL,20.8,12,249.60000000000002,EZ-DY74-1WSL,variant,111407,105872,369.41,249.6,
EZ-DYCHR77-1-WSLN,EZ-DYCHR77-1-WSLN,26,12,312,EZ-DYCHR77-1-WSLN,variant,111407,105874,461.76,312,
EZ-DYWB74-1,EZ-DYWB74-1,14.4,12,172.8,EZ-DYWB74-1,variant,111407,105870,255.74,172.8,
EZ-DYWB74-1-W,EZ-DYWB74-1-W,15.9,12,190.8,EZ-DYWB74-1-W,variant,111407,105871,282.38,190.8,
EZ-DYWB77-1-WSLN,EZ-DYWB77-1-WSLN,22,12,264,EZ-DYWB77-1-WSLN,variant,111407,105873,390.72,264,
EZ-EP74-1-C-WSLN,EZ-EP74-1-C-WSLN,31.5,12,378,EZ-EP74-1-C-WSLN,variant,110180,106833,559.44,378,
EZ-EP74-1-SLN,EZ-EP74-1-SLN,29.9,12,358.79999999999995,EZ-EP74-1-SLN,variant,110180,106830,531.02,358.8,
