option_sku,base_sku_norm,base_sku_raw,color_label,color_code,size_hint,case_pack,price_each,sku_case_cost,bc_type,bc_product_id,bc_variant_id,bc_sku_raw,bc_price,bc_sale_price,bc_cost_price
SPCNA-C001-S72X72-PK12,SPCNA,SPCNA,White,1,"72"" x 72""",12,10.5,126,variant,110128,96150,SPCNA,226.8,,162
DY-C001-S72X72-PK12,DY,DY,White,1,"72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY-C002-S72X72-PK12,DY,DY,Beige,2,"72"" x 72""",12,14.9,178.8,variant,110133,59107,DY,144.48,0,0
DY-C001-S48X72-PK18,DY,DY,White,1,"48"" x 72""",18,14.45,260.09999999999997,variant,110133,59107,DY,144.48,0,0
DY-C002-S48X72-PK18,DY,DY,Beige,2,"48"" x 72""",18,14.45,260.09999999999997,variant,110133,59107,DY,144.48,0,0
DY-C001-S42X72-PK18,DY,DY,White,1,"42"" x 72""",18,13.1,235.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C002-S42X72-PK18,DY,DY,Beige,2,"42"" x 72""",18,13.1,235.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C001-S36X72-PK24,DY,DY,White,1,"36"" x 72""",24,8.95,214.79999999999998,variant,110133,59107,DY,144.48,0,0
DY-C002-S36X72-PK24,DY,DY,Beige,2,"36"" x 72""",24,8.95,214.79999999999998,variant,110133,59107,DY,144.48,0,0
CTYWAFFA-CLWHITE-S72X72-PK12,CTY-WAFFA,CTY-WAFFA,White,,"72"" x 72""",12,22,264,variant,112419,95606,CTY-WAFFA,390.72,,264
CTYWAFF78-CLWHITE-S72X78-PK12,CTY-WAFF78,CTY-WAFF78,White,,"72"" x 78""",12,23,276,variant,112419,95607,CTY-WAFF78,408.48,,276
SS-C001-S72X72-PK12,SS,SS,White,1,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C002-S72X72-PK12,SS,SS,Beige,2,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C007-S72X72-PK12,SS,SS,Blue,7,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C008-S72X72-PK12,SS,SS,Green,8,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C009-S72X72-PK12,SS,SS,Pink,9,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C012-S72X72-PK12,SS,SS,Champagne,12,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C017-S72X72-PK12,SS,SS,Navy,17,"72"" x 72""",12,8,96,product,109815,,SS,114.24,0,5.99
SS-C001-S48X72-PK18,SS,SS,White,1,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C002-S48X72-PK18,SS,SS,Beige,2,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C007-S48X72-PK18,SS,SS,Blue,7,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C008-S48X72-PK18,SS,SS,Green,8,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C009-S48X72-PK18,SS,SS,Pink,9,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C012-S48X72-PK18,SS,SS,Champagne,12,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C017-S48X72-PK18,SS,SS,Navy,17,"48"" x 72""",18,7.75,139.5,product,109815,,SS,114.24,0,5.99
SS-C001-S42X72-PK18,SS,SS,White,1,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C002-S42X72-PK18,SS,SS,Beige,2,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C007-S42X72-PK18,SS,SS,Blue,7,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C008-S42X72-PK18,SS,SS,Green,8,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C009-S42X72-PK18,SS,SS,Pink,9,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C012-S42X72-PK18,SS,SS,Champagne,12,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C017-S42X72-PK18,SS,SS,Navy,17,"42"" x 72""",18,7.05,126.89999999999999,product,109815,,SS,114.24,0,5.99
SS-C001-S36X72-PK24,SS,SS,White,1,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C002-S36X72-PK24,SS,SS,Beige,2,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C007-S36X72-PK24,SS,SS,Blue,7,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C008-S36X72-PK24,SS,SS,Green,8,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C009-S36X72-PK24,SS,SS,Pink,9,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C012-S36X72-PK24,SS,SS,Champagne,12,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
SS-C017-S36X72-PK24,SS,SS,Navy,17,"36"" x 72""",24,4.8,115.19999999999999,product,109815,,SS,114.24,0,5.99
