,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Effective Date: January 15, 2024",,,,,,,,,,,,,,
,CONFIDENTIAL PRICE LIST,,,,,         Case Dimensions                                               (Pallet Size 48 x 40),,,,Cartons Per Pallet ,MOQ/Multiples ,,,
Part #,Description,,Image , Literature  ,Case Pack,Weight,Length,Width,Height,Per Pallet ,MOQ,Origin,,
,Ironing Boards ,,,,,,,,,,,,,
IB48CDSF02,"48"" Ironing Board; White With Blue Cover ", $22.20 ,Image ,Literature ,4,42,17,10,55,9,4,Turkey ,,
,,,,,,,,,,,,,,
IBCL4821,"48"" Contour Leg Ironing Board; Black With Charcoal Cover ", $22.20 ,Image, Literature ,4,42,17,10,55,9,4,Turkey ,,
,,,,,,,,,,,,,,
IBTACDSF02,"53"" Basic Ironing Board; White With Blue Cover ", $19.95 ,Image, Literature  ,4,42,17,10,56,13,4,Turkey ,,
,,,,,,,,,,,,,,
IBTACDSF11,"53"" Basic Ironing Board; White With Khaki Cover ", $19.95 ,Image, Literature  ,4,42,17,10,56,13,4,Turkey ,,
,,,,,,,,,,,,,,
IBTBCDSF21,"53"" Basic Ironing Board; Black with Charcoal Cover ", $19.95 ,Image, Literature  ,4,42,17,10,56,13,4,Turkey ,,
,,,,,,,,,,,,,,
IHBCDSF02,"53"" Premium Ironing Board; White With Blue Cover ", $23.45 ,Image, Literature  ,4,51,18,12,56,9,4,Turkey ,,
,,,,,,,,,,,,,,
IHBCDSF11,"53"" Premium Ironing Board; White With Khaki Cover ", $23.45 ,Image, Literature  ,4,51,18,12,56,9,4,Turkey ,,
,,,,,,,,,,,,,,
IHBCDSF21,"53"" Premium Ironing Board; Black With Charcoal Cover ", $23.45 ,Image, Literature  ,4,51,18,12,56,9,4,Turkey ,,
,Ironing Board Covers ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CEFB01,"53"" x 13"" Replacement Bungee Ironing Board Cover; Light Khaki ", $5.00 ,Image, Literature  ,12,10,20,16,10,42,12,China/Turkey,,
,,,,,,,,,,,,,,
CEFB02,"53"" x 13"" Replacement Bungee Ironing Board Cover; Blue ", $5.00 ,Image, Literature  ,12,10,20,16,10,42,12,China/Turkey,,
,,,,,,,,,,,,,,
CEFB11,"53"" x 13"" Replacement Bungee Ironing Board Cover; Khaki ", $5.00 ,Image, Literature  ,12,10,20,16,10,42,12,China/Turkey,,
,,,,,,,,,,,,,,
CEFB21,"53"" x 13"" Replacement Bungee Ironing Board Cover; Charcoal  ", $5.00 ,Image, Literature  ,12,10,20,16,10,42,12,China/Turkey,,
,,,,,,,,,,,,,,
48CEFB02,"48"" x 13"" Replacement Bungee Ironing Board Cover; Blue ", $5.00 ,Image, Literature  ,12,10,18,15,10,42,12,China,,
